Time - V_S	Amplitude - V_S	Time - V_L	Amplitude - V_L
0,00102	-4,13889	0,00102	-2,46109
0,001022	-1,7106	0,001022	0,481912
0,001024	1,35738	0,001024	3,23522
0,001026	3,90294	0,001026	4,77134
0,001028	4,94882	0,001028	4,49111
0,00103	4,10361	0,00103	2,50437
0,001032	1,70331	0,001032	-0,437032
0,001034	-1,36435	0,001034	-3,20255
0,001036	-3,92792	0,001036	-4,76344
0,001038	-5,00856	0,001038	-4,52315
0,00104	-4,21458	0,00104	-2,56706
0,001042	-1,82173	0,001042	0,360803
0,001044	1,23401	0,001044	3,14568
0,001046	3,82564	0,001046	4,74171
0,001048	4,94496	0,001048	4,53652
0,00105	4,17609	0,00105	2,60873
0,001052	1,81089	0,001052	-0,314957
0,001054	-1,24711	0,001054	-3,10915
0,001056	-3,849	0,001056	-4,73316
0,001058	-5,00856	0,001058	-4,57179
0,00106	-4,28158	0,00106	-2,67206
0,001062	-1,94122	0,001062	0,238084
0,001064	1,11999	0,001064	3,04937
0,001066	3,7406	0,001066	4,71111
0,001068	4,94592	0,001068	4,58226
0,00107	4,24598	0,00107	2,71052
0,001072	1,92524	0,001072	-0,191594
0,001074	-1,12664	0,001074	-3,01155
0,001076	-3,76333	0,001076	-4,69999
0,001078	-4,99632	0,001078	-4,61205
0,00108	-4,34085	0,00108	-2,77256
0,001082	-2,05653	0,001082	0,115365
0,001084	0,993726	0,001084	2,95177
0,001086	3,66008	0,001086	4,67825
0,001088	4,92402	0,001088	4,62253
0,00109	4,303	0,00109	2,81391
0,001092	2,04313	0,001092	-0,0701634
0,001094	-1,00199	0,001094	-2,9146
0,001096	-3,67604	0,001096	-4,66584
0,001098	-4,9815	0,001098	-4,65006
0,0011	-4,40752	0,0011	-2,87305
0,001102	-2,16734	0,001102	-0,00864283
0,001104	0,864242	0,001104	2,85385
0,001106	3,57504	0,001106	4,63831
0,001108	4,90276	0,001108	4,66021
0,00111	4,36259	0,00111	2,91022
0,001112	2,15103	0,001112	0,053522
0,001114	-0,874762	0,001114	-2,81572
0,001116	-3,59616	0,001116	-4,62526
0,001118	-4,96829	0,001118	-4,68742
0,00112	-4,45938	0,00112	-2,96839
0,001122	-2,27814	0,001122	-0,130396
0,001124	0,746676	0,001124	2,75304
0,001126	3,48421	0,001126	4,59901
0,001128	4,88665	0,001128	4,69629
0,00113	4,42411	0,00113	3,00911
0,001132	2,26602	0,001132	0,176563
0,001134	-0,754298	0,001134	-2,71393
0,001136	-3,50211	0,001136	-4,58564
0,001138	-4,94671	0,001138	-4,7235
0,00114	-4,518	0,00114	-3,06921
0,001142	-2,39538	0,001142	-0,254403
0,001144	0,62138	0,001144	2,65125
0,001146	3,39595	0,001146	4,55617
0,001148	4,86797	0,001148	4,7314
0,00115	4,4808	0,00115	3,1038
0,001152	2,37489	0,001152	0,29896
0,001154	-0,63029	0,001154	-2,61247
0,001156	-3,41417	0,001156	-4,54184
0,001158	-4,91901	0,001158	-4,7541
0,00116	-4,57083	0,00116	-3,16326
0,001162	-2,50264	0,001162	-0,376156
0,001164	0,503815	0,001164	2,54753
0,001166	3,30125	0,001166	4,5114
0,001168	4,84414	0,001168	4,76039
0,00117	4,52235	0,00117	3,19947
0,001172	2,48408	0,001172	0,420713
0,001174	-0,509504	0,001174	-2,50779
0,001176	-3,31851	0,001176	-4,49545
0,001178	-4,89486	0,001178	-4,78309
0,00118	-4,62172	0,00118	-3,25828
0,001182	-2,60603	0,001182	-0,496298
0,001184	0,374653	0,001184	2,44414
0,001186	3,21364	0,001186	4,46018
0,001188	4,81418	0,001188	4,78422
0,00119	4,57389	0,00119	3,28998
0,001192	2,59231	0,001192	0,542788
0,001194	-0,381631	0,001194	-2,40375
0,001196	-3,22317	0,001196	-4,44327
0,001198	-4,86361	0,001198	-4,8066
0,0012	-4,67357	0,0012	-3,3475
0,001202	-2,71651	0,001202	-0,621272
0,001204	0,253222	0,001204	2,33559
0,001206	3,10928	0,001206	4,40961
0,001208	4,78455	0,001208	4,80903
0,00121	4,62414	0,00121	3,37985
0,001212	2,69699	0,001212	0,66583
0,001214	-0,262455	0,001214	-2,29231
0,001216	-3,12751	0,001216	-4,39077
0,001218	-4,83495	0,001218	-4,83076
0,00122	-4,72447	0,00122	-3,43672
0,001222	-2,8286	0,001222	-0,74077
0,001224	0,124061	0,001224	2,22608
0,001226	3,01684	0,001226	4,35614
0,001228	4,75459	0,001228	4,83061
0,00123	4,66343	0,00123	3,46714
0,001232	2,80908	0,001232	0,788871
0,001234	-0,144246	0,001234	-2,18473
0,001236	-3,04022	0,001236	-4,33569
0,001238	-4,80628	0,001238	-4,8488
0,00124	-4,75603	0,00124	-3,52175
0,001242	-2,92394	0,001242	-0,862844
0,001244	0,00230848	0,001244	2,11785
0,001246	2,91634	0,001246	4,29784
0,001248	4,71497	0,001248	4,84703
0,00125	4,71529	0,00125	3,55443
0,001252	2,90571	0,001252	0,909658
0,001254	-0,0160511	0,001254	-2,07522
0,001256	-2,93199	0,001256	-4,2745
0,001258	-4,76086	0,001258	-4,86393
0,00126	-4,79178	0,00126	-3,60389
0,001262	-3,02605	0,001262	-0,983631
0,001264	-0,123954	0,001264	2,00608
0,001266	2,81488	0,001266	4,24019
0,001268	4,67181	0,001268	4,86121
0,00127	4,74235	0,00127	3,63527
0,001272	3,00589	0,001272	1,02755
0,001274	0,109245	0,001274	-1,96474
0,001276	-2,83375	0,001276	-4,21491
0,001278	-4,71867	0,001278	-4,87617
0,00128	-4,82754	0,00128	-3,68538
0,001282	-3,12429	0,001282	-1,10152
0,001284	-0,248283	0,001284	1,89238
0,001286	2,7044	0,001286	4,17673
0,001288	4,63219	0,001288	4,87441
0,00129	4,77682	0,00129	3,71612
0,001292	3,10187	0,001292	1,14898
0,001294	0,232286	0,001294	-1,85071
0,001296	-2,7265	0,001296	-4,15339
